Observable	N_bins	D_KS	Asymp_PValue	Perm_PValue
DeltaEta_Result0.5_15	12	0.5	0.09956184831	0.09849
DeltaPhi_Result0.5_15	12	0.3333333333	0.5175506636	0.52198
