system	run	average_abs_deta	total_track_weight	selected_tracks	selected_events	average_abs_deta_stat_uncertainty	effective_tracks
pPb	1	2.68745279	20980115.16702732	20659660	351394	0.00038992	19785839.48340911
PbP	1	2.68885872	21009514.56649456	20689816	352427	0.00039031	19749678.80906234
