Observable	ErrorModel	N_bins	chi2	ndf	chi2_per_ndf	p_value	ExcludedBins
DeltaEta_Result0.5_15	Sumw2	12	24.012348062618351	12	2.001029005218196	0.020262509811575478	0
DeltaEta_Result0.5_15	Jackknife	12	17.455802652642927	12	1.4546502210535772	0.13324088753681165	0
DeltaEta_Result0.5_15	FullCovariance	12	12.526910346236681	12	1.0439091955197235	0.40434254170000794	0
DeltaPhi_Result0.5_15	Sumw2	12	57.267669588879798	12	4.7723057990733162	7.0715541646653763e-08	0
DeltaPhi_Result0.5_15	Jackknife	12	39.229663959878685	12	3.2691386633232238	9.6445845772980422e-05	0
DeltaPhi_Result0.5_15	FullCovariance	12	19.544648059939739	12	1.6287206716616449	0.076205022306609707	0
