Observable	ErrorModel	N_bins	chi2	ndf	chi2_per_ndf	p_value
DeltaEta_Result4_15	Sumw2	6	3.968762083036931	6	0.66146034717282187	0.68090392224331242
DeltaEta_Result4_15	Jackknife	6	3.8274497631187465	6	0.63790829385312442	0.7000137541689303
DeltaEta_Result4_15	FullCovariance	6	3.7560337907941577	6	0.62600563179902624	0.70965146393494871
DeltaPhi_Result4_15	Sumw2	6	4.2726154297397736	6	0.7121025716232956	0.63983710978734964
DeltaPhi_Result4_15	Jackknife	6	4.1651519226232168	6	0.69419198710386942	0.65433797238112978
DeltaPhi_Result4_15	FullCovariance	6	4.1136400565032414	6	0.6856066760838736	0.66130098593362252
