Observable	N_bins	HasNeg	Shift	D_KS	D_cum_raw	KS_PValue
DeltaEta_Result0.5_15	20	1	0.8348493482	0.1093156398	1.416806624	1.426104042e-39
DeltaPhi_Result0.5_15	20	1	1.387104297	0.04515812194	2.503784504	4.174476926e-07
