Observable	N_bins	HasNeg	Shift	D_KS	D_cum_raw	KS_PValue
DeltaEta_Result0.5_15	12	1	0.7424836855	0.0962509363	0.3578854634	8.925734224e-31
DeltaPhi_Result0.5_15	12	1	1.353502363	0.01949403953	0.3376279756	0.1137581786
